LAT,LON,YEAR,MO,DY,PRECTOTCORR,WS10M,RH2M,QV2M,T2M_RANGE,ALLSKY_SFC_UV_INDEX
25.75,86.25,2014,1,1,0,3.7,60.5,7.2,15.83,0.81
25.75,86.25,2014,1,2,0,5.36,67.69,7.84,12.05,0.76
25.75,86.25,2014,1,3,0,3.61,59.84,5.28,14.14,0.58
25.75,86.25,2014,1,4,0,3.07,56.06,4.79,15.85,0.6
25.75,86.25,2014,1,5,0.01,2.98,56.59,5.58,16.07,0.49
25.75,86.25,2014,1,6,0.01,3.68,71.5,7.93,13.23,0.59
25.75,86.25,2014,1,7,0,4.03,54.31,4.82,14.87,0.58
25.75,86.25,2014,1,8,0,3.21,46.38,3.81,16.48,0.57
25.75,86.25,2014,1,9,0.08,2.06,42.75,3.85,15.03,0.62
25.75,86.25,2014,1,10,0.42,1.75,59.59,6.23,10.79,0.49
25.75,86.25,2014,1,11,5.78,3.05,85.81,8.58,7.25,0.17
25.75,86.25,2014,1,12,0,2.98,76.69,7.97,13.56,0.59
25.75,86.25,2014,1,13,0,2.76,70.06,7.08,15.01,0.52
25.75,86.25,2014,1,14,0,3.12,60.78,5.95,15.64,0.41
25.75,86.25,2014,1,15,0,2.59,55.12,5.43,16.09,0.44
25.75,86.25,2014,1,16,0,3.2,57.62,5.89,15.44,0.52
25.75,86.25,2014,1,17,0,1.58,53.62,5.86,15.07,0.65
25.75,86.25,2014,1,18,3.12,3.77,60.91,7.69,17.18,0.55
25.75,86.25,2014,1,19,0.04,3.61,73.41,9,12.18,0.91
25.75,86.25,2014,1,20,0.03,3.18,67.34,7.02,16.03,0.54
25.75,86.25,2014,1,21,0,2.02,58.59,6.68,15.99,0.77
25.75,86.25,2014,1,22,0,1.5,55.59,7.02,14.02,0.73
25.75,86.25,2014,1,23,0,3,56.03,7.29,12.91,0.88
25.75,86.25,2014,1,24,0,3.69,60.16,7.9,12.14,0.96
25.75,86.25,2014,1,25,0,4.98,60.09,7.54,13.09,0.87
25.75,86.25,2014,1,26,0,4.54,57.06,5.86,15.07,0.91
25.75,86.25,2014,1,27,0,4.19,53.91,5.28,16.36,0.8
25.75,86.25,2014,1,28,0,3.46,54.94,5.55,16.32,0.55
25.75,86.25,2014,1,29,0,2.2,48.06,5.34,16.09,0.61
25.75,86.25,2014,1,30,0,3.1,49.22,5.28,16.02,0.43
25.75,86.25,2014,1,31,0,3.12,50.78,5.22,17.25,0.67
25.75,86.25,2014,2,1,0,3.86,48.22,4.79,17.72,0.85
25.75,86.25,2014,2,2,0,4.52,49.66,5.1,17.71,0.91
25.75,86.25,2014,2,3,0,4.3,49.19,5.13,15.75,0.87
25.75,86.25,2014,2,4,0,4.32,51.94,5.89,17.96,1.02
25.75,86.25,2014,2,5,0,3.51,55.22,6.81,17.74,0.87
25.75,86.25,2014,2,6,0,4.81,50.22,6.5,16.19,1.21
25.75,86.25,2014,2,7,0,3.11,56.12,7.6,17.82,1.14
25.75,86.25,2014,2,8,0,4.23,52.44,7.84,15.8,1.23
25.75,86.25,2014,2,9,0,5.08,48.72,6.65,15.75,1.38
25.75,86.25,2014,2,10,0,4.32,42.97,4.97,15.89,1.34
25.75,86.25,2014,2,11,0,3.68,39.22,4.27,17.2,1.24
25.75,86.25,2014,2,12,0,4.71,40.28,4.49,17.03,1.3
25.75,86.25,2014,2,13,0.01,2.39,34.25,3.72,19.79,1.28
25.75,86.25,2014,2,14,4.94,2.96,44.19,5.1,11.33,0.22
25.75,86.25,2014,2,15,3.48,2.75,78.81,9.03,8.91,0.4
25.75,86.25,2014,2,16,3.93,2.61,73.84,8.82,12.86,0.36
25.75,86.25,2014,2,17,0.01,5.56,56.44,5.95,15.47,1.1
25.75,86.25,2014,2,18,1.91,3.53,49.19,5.04,18.28,0.99
25.75,86.25,2014,2,19,0,2.34,40.66,4.55,16.87,1.09
25.75,86.25,2014,2,20,0,2.79,41.09,4.73,17.95,1.06
25.75,86.25,2014,2,21,0,2.59,39.03,4.97,18.05,1.08
25.75,86.25,2014,2,22,0.2,2.68,48.5,6.93,15.43,0.79
25.75,86.25,2014,2,23,3.18,3.32,67,9.83,11.8,0.79
25.75,86.25,2014,2,24,0,4.48,58.47,8.21,14.76,1.15
25.75,86.25,2014,2,25,0,3.18,45.59,6.1,17.1,1.19
25.75,86.25,2014,2,26,0.46,3.09,46.59,6.16,13.21,1.04
25.75,86.25,2014,2,27,2.33,2.98,63.31,9.19,13.18,0.93
25.75,86.25,2014,2,28,6.17,1.49,78.56,11.11,6.13,1.02
25.75,86.25,2014,3,1,3.25,2.41,80.34,11.47,8.43,0.91
25.75,86.25,2014,3,2,0.02,2.17,62.66,9.31,12.82,1.34
25.75,86.25,2014,3,3,0.02,3.84,53.03,7.57,15.87,1.45
25.75,86.25,2014,3,4,0,3.35,43.19,5.58,15.69,1.2
25.75,86.25,2014,3,5,0.03,3.91,42.22,5.46,16.93,1.38
25.75,86.25,2014,3,6,0,4.26,43.81,6.23,16.87,1.23
25.75,86.25,2014,3,7,0,4.32,45.62,6.41,17.93,1.53
25.75,86.25,2014,3,8,0,4.24,42.22,5.74,18.1,1.57
25.75,86.25,2014,3,9,0,2.81,40,5.77,17.69,1.47
25.75,86.25,2014,3,10,0,2.57,40.91,6.26,14.48,1.27
25.75,86.25,2014,3,11,0,3.46,42.03,6.5,18.51,1.73
25.75,86.25,2014,3,12,0,3.76,43.84,7.66,17.77,1.64
25.75,86.25,2014,3,13,0.03,4.35,48.72,8.82,16.05,1.66
25.75,86.25,2014,3,14,0,3.42,42.12,6.9,17.12,1.75
25.75,86.25,2014,3,15,0,3.5,33.44,5.13,19.79,1.79
25.75,86.25,2014,3,16,0,3.04,35.31,5.74,19.27,1.73
25.75,86.25,2014,3,17,0,2.41,38.94,7.26,17.36,1.54
25.75,86.25,2014,3,18,0,2.17,39.34,8.27,16.42,1.59
25.75,86.25,2014,3,19,0,3.99,34.16,7.26,16.11,1.55
25.75,86.25,2014,3,20,0,3.93,33.22,5.68,17.56,1.77
25.75,86.25,2014,3,21,0.08,1.68,31.41,6.2,14.7,1.49
25.75,86.25,2014,3,22,0.33,2.42,30.28,5.98,17.8,-999
25.75,86.25,2014,3,23,0.06,2.65,31.09,6.07,16.46,1.38
25.75,86.25,2014,3,24,0.01,2.45,33.31,6.68,16.18,1.3
25.75,86.25,2014,3,25,0.01,2.68,33.5,7.14,16.07,1.32
25.75,86.25,2014,3,26,0.04,2.79,33.56,7.72,16.72,1.65
25.75,86.25,2014,3,27,0.05,4.14,29.91,7.63,17.48,1.82
25.75,86.25,2014,3,28,0,5.5,30,7.29,18.13,2.12
25.75,86.25,2014,3,29,0,7.6,26.91,6.74,19.64,2.2
25.75,86.25,2014,3,30,0,7.39,27.25,7.23,17.04,2.2
25.75,86.25,2014,3,31,0,5.98,23.69,5.28,14.43,2.09
25.75,86.25,2014,4,1,0,5.43,20.41,4.27,18.03,2.21
25.75,86.25,2014,4,2,0,4.59,20.66,4.67,20.29,2.18
25.75,86.25,2014,4,3,0,2.18,19.41,5.16,17.86,1.87
25.75,86.25,2014,4,4,0,2.37,22.94,6.01,14.66,1.75
25.75,86.25,2014,4,5,0.01,1.76,22.66,6.1,13.92,1.66
25.75,86.25,2014,4,6,0,2.48,35.5,9,16.49,1.52
25.75,86.25,2014,4,7,0,2.58,32.09,8.91,16.19,1.66
25.75,86.25,2014,4,8,0.01,3.51,24.84,7.2,16.85,1.7
25.75,86.25,2014,4,9,0.01,4.42,19.75,4.73,17,2.13
25.75,86.25,2014,4,10,0,4.24,14.88,3.36,20.3,2.18
25.75,86.25,2014,4,11,0,2.5,12.22,2.99,18.24,-999
25.75,86.25,2014,4,12,0,2.18,13.81,3.69,19.41,2.11
25.75,86.25,2014,4,13,0.02,2.59,20.09,5.28,17.53,1.87
25.75,86.25,2014,4,14,0.06,2.42,26.19,6.96,16.57,1.83
25.75,86.25,2014,4,15,0.05,3.52,21.72,6.07,15.71,1.89
25.75,86.25,2014,4,16,0,2.27,20.81,6.1,16.08,2.08
25.75,86.25,2014,4,17,0.05,4.5,20.22,6.01,17.01,2.04
25.75,86.25,2014,4,18,0,3.46,18.94,5.8,16.57,2.02
25.75,86.25,2014,4,19,0,3.7,24.09,7.78,13.85,1.98
25.75,86.25,2014,4,20,0,5.66,23.41,7.23,14.39,1.91
25.75,86.25,2014,4,21,0,4.91,17.75,4.88,18.37,2.35
25.75,86.25,2014,4,22,0,4.88,15.06,4.7,17.7,2.29
25.75,86.25,2014,4,23,0,5.68,13.97,4.46,18.98,2.23
25.75,86.25,2014,4,24,0,5.44,19.22,6.07,17.04,2.17
25.75,86.25,2014,4,25,0,4.43,17.12,5.43,17.57,2.12
25.75,86.25,2014,4,26,0,1.57,14.09,4.82,16.41,2.05
25.75,86.25,2014,4,27,0.1,2.64,16.47,5.68,17,1.91
25.75,86.25,2014,4,28,0.14,3.26,16.38,5.65,15.06,2.16
25.75,86.25,2014,4,29,0,2.63,18.19,5.55,18.58,2.15
25.75,86.25,2014,4,30,0.01,3.3,30.16,9.28,16.41,1.92
25.75,86.25,2014,5,1,0.54,3.62,29.41,9.77,15.85,1.75
25.75,86.25,2014,5,2,2.94,5.04,41.97,13.09,13.6,1.84
25.75,86.25,2014,5,3,1.29,3.57,39.59,12.39,13.05,1.84
25.75,86.25,2014,5,4,0.82,3.91,42.97,13.24,11.14,1.95
25.75,86.25,2014,5,5,1.31,2.72,40.72,12.18,12.85,1.85
25.75,86.25,2014,5,6,1.46,2.69,40.84,12.3,12.7,1.88
25.75,86.25,2014,5,7,0.36,3,33.62,11.02,14.05,1.9
25.75,86.25,2014,5,8,0.21,3.84,29.66,9.92,12.63,1.94
25.75,86.25,2014,5,9,0,6.35,22.66,7.84,17.24,1.99
25.75,86.25,2014,5,10,0,6.06,25.75,9.52,14.94,2.02
25.75,86.25,2014,5,11,0,4.01,27.06,9.92,15.26,2.18
25.75,86.25,2014,5,12,0.02,4.31,19.69,7.08,15.27,2.16
25.75,86.25,2014,5,13,0.01,4.67,21.72,7.81,15.23,2.27
25.75,86.25,2014,5,14,0.01,6.31,20.78,7.48,15.2,2.51
25.75,86.25,2014,5,15,0,6.28,21.25,7.29,14,2.41
25.75,86.25,2014,5,16,0,4.81,18.78,6.35,16.8,2.37
25.75,86.25,2014,5,17,0,3.84,18.12,6.47,16.33,2.29
25.75,86.25,2014,5,18,0,3.8,16.62,6.2,15.96,2.34
25.75,86.25,2014,5,19,0,2.4,16.72,6.01,18.35,2.23
25.75,86.25,2014,5,20,0,2.16,20.5,6.77,17.53,2.07
25.75,86.25,2014,5,21,0.01,3.84,21.47,7.42,18.45,2.36
25.75,86.25,2014,5,22,0.01,3.11,17.22,6.47,16.43,2.41
25.75,86.25,2014,5,23,0,2.72,20.94,7.69,16.09,2.11
25.75,86.25,2014,5,24,0.15,5.65,40.62,14.25,11.81,1.98
25.75,86.25,2014,5,25,1.81,4.04,46.44,15.29,8.34,1.95
25.75,86.25,2014,5,26,30.06,3.77,60.16,15.75,6.77,0.82
25.75,86.25,2014,5,27,35.72,5.31,83.97,17.3,4.03,1.12
25.75,86.25,2014,5,28,10.18,5.23,75.53,17.15,9.05,1.35
25.75,86.25,2014,5,29,0.64,2.16,52.56,15.01,14.17,2.09
25.75,86.25,2014,5,30,4.41,3.61,58.59,17.7,12.87,1.59
25.75,86.25,2014,5,31,2.54,3.14,59.94,17.91,10.77,1.12
25.75,86.25,2014,6,1,0.26,3.36,57.94,17.33,10.81,2.09
25.75,86.25,2014,6,2,0.3,2.36,54.75,16.72,11.01,2.05
25.75,86.25,2014,6,3,0.49,1.98,48.53,16.2,12.83,1.99
25.75,86.25,2014,6,4,0.06,1.66,44.47,15.35,12.99,1.79
25.75,86.25,2014,6,5,0,2.58,44.88,16.2,13.46,1.82
25.75,86.25,2014,6,6,1.84,3.85,49.91,17.88,12.88,1.62
25.75,86.25,2014,6,7,3.77,3.55,57,19.2,10.92,1.73
25.75,86.25,2014,6,8,1.7,2.38,54.06,18.52,11.98,1.63
25.75,86.25,2014,6,9,4.53,2.38,53.5,18.07,11.83,1.57
25.75,86.25,2014,6,10,9.82,3.03,59.09,19.2,12.15,1.93
25.75,86.25,2014,6,11,0.8,2.21,51.03,17.18,13.91,1.84
25.75,86.25,2014,6,12,0.02,3.03,44.03,14.53,14.8,1.95
25.75,86.25,2014,6,13,0.56,1.73,33.28,11.96,15.2,1.92
25.75,86.25,2014,6,14,0.7,2.35,36.12,12.97,13.5,2
25.75,86.25,2014,6,15,6.43,1.05,44,15.75,10.2,1.7
25.75,86.25,2014,6,16,2.94,1.21,43.28,16.08,10.22,1.82
25.75,86.25,2014,6,17,4.49,2.37,51.47,17.91,10.38,2.13
25.75,86.25,2014,6,18,4.09,1.48,49.59,17.33,10.72,1.75
25.75,86.25,2014,6,19,15.36,1.39,59.69,19.17,5.96,1.64
25.75,86.25,2014,6,20,1.7,2.49,55.16,18.89,10.63,1.67
25.75,86.25,2014,6,21,12.83,1.91,65.22,20.05,6.29,0.62
25.75,86.25,2014,6,22,3.14,3.34,59.38,18.98,10.56,1.47
25.75,86.25,2014,6,23,6.82,3.26,51.06,17.79,10.32,1.84
25.75,86.25,2014,6,24,4.21,2.22,52.72,17.97,10.13,1.63
25.75,86.25,2014,6,25,3.59,1.92,55.25,17.88,10.46,1.77
25.75,86.25,2014,6,26,3.1,2.2,58.75,18.34,9.35,1.63
25.75,86.25,2014,6,27,0.1,2.91,56.06,18.16,10.45,1.69
25.75,86.25,2014,6,28,4.93,2.07,57.09,18.62,8.98,1.45
25.75,86.25,2014,6,29,13.09,2.65,58.62,19.47,8.52,1.05
25.75,86.25,2014,6,30,15.82,1.93,63.66,20.11,8.44,0.88
25.75,86.25,2014,7,1,18.94,2.48,72.22,20.72,6.46,0.72
25.75,86.25,2014,7,2,11.53,2.79,79,20.45,3.49,1.23
25.75,86.25,2014,7,3,11.94,3.8,82.25,20.57,5.26,0.92
25.75,86.25,2014,7,4,57.42,3.2,87.31,21.18,3.27,0.8
25.75,86.25,2014,7,5,40.06,2.4,89.91,22.16,4.94,1.21
25.75,86.25,2014,7,6,14.73,3.95,86.5,22.4,5.84,1.25
25.75,86.25,2014,7,7,4.49,2.69,81.5,21.91,6.34,1.24
25.75,86.25,2014,7,8,2.24,2.11,78.84,21.85,7.19,1.1
25.75,86.25,2014,7,9,1.2,1.34,73.53,21.39,7.34,1.17
25.75,86.25,2014,7,10,7.61,0.84,72.78,21.27,5.28,1.1
25.75,86.25,2014,7,11,3.34,1.66,81.81,22.46,5.36,1.54
25.75,86.25,2014,7,12,0.18,2.12,81.34,22.13,6.74,2.31
25.75,86.25,2014,7,13,0.28,3.64,82.09,22.8,6.59,2.02
25.75,86.25,2014,7,14,0.49,4.9,83.59,22.74,5.95,2.23
25.75,86.25,2014,7,15,12.72,5.75,86.84,22.52,4.34,1.84
25.75,86.25,2014,7,16,4.45,6.46,84.31,21.88,6.55,1.7
25.75,86.25,2014,7,17,4,4.89,84.81,22.49,6.46,1.29
25.75,86.25,2014,7,18,16.96,3,86.47,22.43,5.02,1.77
25.75,86.25,2014,7,19,9.85,4.06,88.25,22.98,4.9,1.93
25.75,86.25,2014,7,20,3.9,4.12,84.97,22.52,6.55,2.2
25.75,86.25,2014,7,21,3.55,7.04,86.38,21.79,4.84,1.47
25.75,86.25,2014,7,22,3.65,7.65,84.34,21.36,6.82,2.09
25.75,86.25,2014,7,23,2.47,4.25,83.97,21.06,6.12,2.02
25.75,86.25,2014,7,24,7.75,1.86,82.31,20.51,5.45,0.95
25.75,86.25,2014,7,25,6.77,1.55,78.22,20.51,6.8,1.87
25.75,86.25,2014,7,26,11.2,2.37,82.66,21.79,6.76,2.34
25.75,86.25,2014,7,27,8.13,2.53,85.62,21.88,5.03,1.76
25.75,86.25,2014,7,28,2.26,3.41,82.44,21.24,6.87,2.59
25.75,86.25,2014,7,29,1.69,3.71,81.5,21.36,7.42,2.32
25.75,86.25,2014,7,30,3.37,4.27,81.97,21.61,7.18,2.05
